,Unnamed: 0,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters,bk_cnot_count,bk_u1_count
47,48,48,-15.595246254527405,3.1953932833062026e-08,3.311931564553561e-07,216,1685.0,2649,357,316,"spin_d_f_exc_[0, 1]_[3, 10]","[[0, 1], [3, 10]]",-0.0007462511183622,3740.0,3474
48,49,49,-15.595246380366374,1.2583897124329724e-07,2.0535418521205886e-07,128,1743.0,2719,370,327,"spin_d_f_exc_[1, 5]_[3, 13]","[[1, 5], [3, 13]]",0.0077487075005214,3868.0,3594
49,50,50,-15.595246427587886,4.7221512033956976e-08,1.581326731781019e-07,151,1756.0,2752,381,338,"spin_d_f_exc_[0, 1]_[2, 3]","[[0, 1], [2, 3]]",0.0036469166926398,3900.0,3634
50,51,51,-15.59524642971405,2.126164133642305e-09,1.5600650904445956e-07,108,1769.0,2785,381,338,"spin_d_f_exc_[10, 13]_[12, 11]","[[10, 13], [12, 11]]",-0.0007596157277366,3940.0,3674
51,52,52,-15.595246446306833,1.6592780482937997e-08,1.3941372856152157e-07,196,1782.0,2818,381,338,"spin_d_f_exc_[4, 13]_[12, 5]","[[4, 13], [12, 5]]",0.0116328535608938,3972.0,3714
52,53,53,-15.595246450027345,3.7205136749207668e-09,1.356932148866008e-07,194,1795.0,2851,381,338,"spin_d_f_exc_[2, 5]_[4, 3]","[[2, 5], [4, 3]]",0.0007825023363015,4012.0,3754
53,54,54,-15.595246478295405,2.8268058116509565e-08,1.0742515677009125e-07,207,1841.0,2921,385,338,"spin_d_f_exc_[3, 10]_[5, 4]","[[3, 10], [5, 4]]",-0.0045163838687186,4116.0,3842
54,55,55,-15.595246483625385,5.329981789259364e-09,1.0209517498083188e-07,137,1903.0,2991,394,349,"spin_d_f_exc_[1, 12]_[10, 13]","[[1, 12], [10, 13]]",0.0034178446091504,4220.0,3946
55,56,56,-15.595246488405005,4.779620255135342e-09,9.731555472569653e-08,205,1933.0,3059,407,360,"spin_d_f_exc_[1, 2]_[12, 13]","[[1, 2], [12, 13]]",-0.0001975139397676,4276.0,4002
56,57,57,-15.595246497237998,8.832993003693446e-09,8.848256172200308e-08,200,1946.0,3092,418,371,"spin_d_f_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",0.002301275459518,4308.0,4042
57,58,58,-15.595246503955693,6.7176948448377524e-09,8.176486687716533e-08,251,1980.0,3162,418,371,"spin_d_f_exc_[3, 10]_[5, 12]","[[3, 10], [5, 12]]",0.0025368969885729,4428.0,4146
58,59,59,-15.595246540618694,3.6663001523606915e-08,4.510186535355842e-08,200,2014.0,3184,419,371,spin_s_f_exc_11_3,"[[3], [11]]",-0.0164560563672716,4448.0,4164
59,60,60,-15.59524654711209,6.493396043083521e-09,3.86084693104749e-08,215,2060.0,3254,432,371,"spin_d_f_exc_[3, 10]_[7, 6]","[[3, 10], [7, 6]]",-0.0096803396067847,4552.0,4252
60,61,61,-15.595246548837736,1.725645404349052e-09,3.688282390612585e-08,239,2073.0,3287,432,382,"spin_d_f_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",0.0016075138929231,4584.0,4292
61,62,62,-15.595246548950332,1.1259615462222428e-10,3.6770227751503626e-08,65,2103.0,3355,442,393,"spin_d_f_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",1.9939930104761185e-05,4640.0,4348
62,63,63,-15.595246552036013,3.085679267655905e-09,3.368454848384772e-08,227,2149.0,3425,442,393,"spin_d_f_exc_[5, 12]_[9, 8]","[[5, 12], [9, 8]]",0.0191082480952223,4752.0,4436
63,64,64,-15.59524655289146,8.554490449341755e-10,3.2829099438913545e-08,213,2203.0,3495,455,404,"spin_d_f_exc_[1, 10]_[9, 8]","[[1, 10], [9, 8]]",-0.0019307189913942,4848.0,4540
64,65,65,-15.59524655705904,4.167580058833664e-09,2.8661519380079884e-08,275,2249.0,3565,455,404,"spin_d_f_exc_[5, 12]_[7, 6]","[[5, 12], [7, 6]]",0.0168386915871205,4944.0,4628
65,66,66,-15.59524655925478,2.1957404783279344e-09,2.6465778901751943e-08,292,2262.0,3598,466,415,"spin_d_f_exc_[0, 1]_[12, 13]","[[0, 1], [12, 13]]",0.0011639962742337,4976.0,4668
66,67,67,-15.595246559516246,2.6146551590500167e-10,2.6204313385846945e-08,175,2304.0,3668,479,426,"spin_d_f_exc_[1, 4]_[11, 12]","[[1, 4], [11, 12]]",0.0001787047875588,5104.0,4788
67,68,68,-15.595246559910386,3.941398318829669e-10,2.5810173553963978e-08,242,2358.0,3738,492,437,"spin_d_f_exc_[1, 10]_[7, 6]","[[1, 10], [7, 6]]",-0.0013071236591549,5208.0,4892
68,69,69,-15.59524655991039,3.552713678800501e-15,2.58101700012503e-08,79,2400.0,3808,505,448,"spin_d_f_exc_[1, 5]_[11, 13]","[[1, 5], [11, 13]]",3.9046516477364585e-08,5336.0,5028
