INFO 2021-03-17 18:43:06,151 q_exc type, prob_2=1e-05, time_cx=0, backend=<class 'src.backends.QiskitSimBackend'>, n_shots=1000000.0, method =automatic, optimizer=Nelder-Mead
INFO 2021-03-17 18:43:06,152 Length of q_exc based ansatz is 3
INFO 2021-03-17 18:43:06,153 Noise model generated for prob_1 = 0, prob_2=1e-05, prob_meas=1e-05 time_single_gate=0, time_cx=0, time_meas=0, t1=50000.0, t2=50000.0. No coupling map.
INFO 2021-03-17 18:43:06,153 Backend is <class 'src.backends.QiskitSimBackend'>, n_shots=1000000.0, method=automatic
INFO 2021-03-17 18:43:06,155 -----Running VQE for: H4-----
-----Number of electrons: 4-----
-----Number of orbitals: 8-----
-----Numeber of ansatz elements: 3-----
-----Statevector and energy calculated using <class 'src.backends.QiskitSimBackend'>------
-----Optimizer Nelder-Mead------

INFO 2021-03-17 18:43:27,124 Iteration: 47. Energy -2.11094020917161.  Energy change 3.541e-04 , Iteration duration: 0.35149431228637695 Params: [-0.08684175 -0.01828498  0.0339733 ]
INFO 2021-03-17 18:43:27,579 Iteration: 48. Energy -2.1112441668906166.  Energy change -3.040e-04 , Iteration duration: 0.35045647621154785 Params: [-0.09550954 -0.01970223  0.03718669]
INFO 2021-03-17 18:43:28,025 Iteration: 49. Energy -2.1117625599621372.  Energy change -5.184e-04 , Iteration duration: 0.4564211368560791 Params: [-0.09956549 -0.02020008  0.03730774]
INFO 2021-03-17 18:43:28,473 Iteration: 50. Energy -2.1119295768977047.  Energy change -1.670e-04 , Iteration duration: 0.44568634033203125 Params: [-0.0968747  -0.01967194  0.0355728 ]
INFO 2021-03-17 18:43:29,186 Iteration: 51. Energy -2.11201546860325.  Energy change -8.589e-05 , Iteration duration: 0.44857096672058105 Params: [-0.11260391 -0.02226216  0.04155767]
INFO 2021-03-17 18:43:29,644 Iteration: 52. Energy -2.112149944832305.  Energy change -1.345e-04 , Iteration duration: 0.7135887145996094 Params: [-0.11830203 -0.02311547  0.04301467]
INFO 2021-03-17 18:43:30,105 Iteration: 53. Energy -2.112107555760189.  Energy change 4.239e-05 , Iteration duration: 0.45760393142700195 Params: [-0.1276351  -0.02633751  0.04656385]
INFO 2021-03-17 18:43:30,528 Iteration: 54. Energy -2.112926314738525.  Energy change -8.188e-04 , Iteration duration: 0.46115756034851074 Params: [-0.10885356 -0.02143096  0.03740464]
INFO 2021-03-17 18:43:30,892 Iteration: 55. Energy -2.1133209107031807.  Energy change -3.946e-04 , Iteration duration: 0.4215407371520996 Params: [-0.1052422  -0.02035717  0.03452966]
INFO 2021-03-17 18:43:31,245 Iteration: 56. Energy -2.112556210579798.  Energy change 7.647e-04 , Iteration duration: 0.36422014236450195 Params: [-0.13724485 -0.02686815  0.04716599]
INFO 2021-03-17 18:43:31,706 Iteration: 57. Energy -2.113443548146382.  Energy change -8.873e-04 , Iteration duration: 0.35326242446899414 Params: [-0.11289096 -0.02055635  0.03657636]
INFO 2021-03-17 18:43:32,054 Iteration: 58. Energy -2.1137222337997374.  Energy change -2.787e-04 , Iteration duration: 0.4600996971130371 Params: [-0.10797624 -0.0186293   0.0332472 ]
INFO 2021-03-17 18:43:32,404 Iteration: 59. Energy -2.1146772545705685.  Energy change -9.550e-04 , Iteration duration: 0.3488755226135254 Params: [-0.11534017 -0.02078761  0.0336139 ]
INFO 2021-03-17 18:43:32,758 Iteration: 60. Energy -2.1154559500213215.  Energy change -7.787e-04 , Iteration duration: 0.34917545318603516 Params: [-0.11435288 -0.02001166  0.03048031]
INFO 2021-03-17 18:43:33,237 Iteration: 61. Energy -2.1137217269888007.  Energy change 1.734e-03 , Iteration duration: 0.35418105125427246 Params: [-0.08113603 -0.01246393  0.01833879]
INFO 2021-03-17 18:43:33,818 Iteration: 62. Energy -2.115567530467816.  Energy change -1.846e-03 , Iteration duration: 0.4806220531463623 Params: [-0.09706791 -0.01371276  0.0201812 ]
INFO 2021-03-17 18:43:34,335 Iteration: 63. Energy -2.1161284429879403.  Energy change -5.609e-04 , Iteration duration: 0.5815234184265137 Params: [-0.09434314 -0.01149796  0.01539838]
INFO 2021-03-17 18:43:34,801 Iteration: 64. Energy -2.115589213431775.  Energy change 5.392e-04 , Iteration duration: 0.5172903537750244 Params: [-0.12997881 -0.02096201  0.03441181]
INFO 2021-03-17 18:43:35,274 Iteration: 65. Energy -2.1181882835756443.  Energy change -2.599e-03 , Iteration duration: 0.46601128578186035 Params: [-0.11780698 -0.01635179  0.0202798 ]
INFO 2021-03-17 18:43:35,759 Iteration: 66. Energy -2.1195453735368748.  Energy change -1.357e-03 , Iteration duration: 0.4731154441833496 Params: [-0.12108389 -0.01559262  0.01595733]
INFO 2021-03-17 18:43:36,376 Iteration: 67. Energy -2.1191170848015752.  Energy change 4.283e-04 , Iteration duration: 0.4848928451538086 Params: [-0.11591768 -0.0120234   0.01336471]
