INFO 2021-03-10 21:08:58,944 Calculating excitation generators
DEBUG 2021-03-10 21:08:58,944 Automatically increasing RLIMIT_NOFILE to max value of 524288
INFO 2021-03-10 21:09:05,376 -----Running VQE for: H4-----
-----Number of electrons: 4-----
-----Number of orbitals: 8-----
-----Numeber of ansatz elements: 616-----
-----Statevector and energy calculated using <class 'src.backends.MatrixCacheBackend'>------
-----Optimizer BFGS------

INFO 2021-03-10 21:09:14,976 Iteration: 55. Energy -2.0949541598299013.  Energy change 0.000e+00 , Iteration dutation: 0.16959095001220703
INFO 2021-03-10 21:09:15,145 Iteration: 56. Energy -2.094954159829901.  Energy change 4.441e-16 , Iteration dutation: 0.16920161247253418
INFO 2021-03-10 21:09:15,314 Iteration: 57. Energy -2.094954159829901.  Energy change 0.000e+00 , Iteration dutation: 0.16860365867614746
INFO 2021-03-10 21:09:15,484 Iteration: 58. Energy -2.0949541598299004.  Energy change 4.441e-16 , Iteration dutation: 0.169783353805542
INFO 2021-03-10 21:09:15,652 Iteration: 59. Energy -2.0949541598299004.  Energy change 0.000e+00 , Iteration dutation: 0.16918396949768066
INFO 2021-03-10 21:09:15,821 Iteration: 60. Energy -2.0949541598299004.  Energy change 0.000e+00 , Iteration dutation: 0.16820383071899414
INFO 2021-03-10 21:09:15,989 Iteration: 61. Energy -2.0949541598299004.  Energy change 0.000e+00 , Iteration dutation: 0.16903114318847656
INFO 2021-03-10 21:09:16,158 Iteration: 62. Energy -2.0949541598299004.  Energy change 0.000e+00 , Iteration dutation: 0.16871380805969238
INFO 2021-03-10 21:09:16,328 Iteration: 63. Energy -2.0949541598299004.  Energy change 0.000e+00 , Iteration dutation: 0.16878080368041992
INFO 2021-03-10 21:09:16,497 Iteration: 64. Energy -2.0949541598299004.  Energy change 0.000e+00 , Iteration dutation: 0.1694178581237793
INFO 2021-03-10 21:09:16,666 Iteration: 65. Energy -2.0949541598299004.  Energy change 0.000e+00 , Iteration dutation: 0.16944336891174316
INFO 2021-03-10 21:09:16,834 Iteration: 66. Energy -2.0949541598299013.  Energy change -8.882e-16 , Iteration dutation: 0.16840648651123047
INFO 2021-03-10 21:09:17,003 Iteration: 67. Energy -2.0949541598299013.  Energy change 0.000e+00 , Iteration dutation: 0.16881370544433594
INFO 2021-03-10 21:09:17,173 Iteration: 68. Energy -2.0949541598299013.  Energy change 0.000e+00 , Iteration dutation: 0.16870427131652832
INFO 2021-03-10 21:09:17,341 Iteration: 69. Energy -2.0949541598299013.  Energy change 0.000e+00 , Iteration dutation: 0.16956830024719238
INFO 2021-03-10 21:09:17,510 Iteration: 70. Energy -2.0949541598299013.  Energy change 0.000e+00 , Iteration dutation: 0.16849613189697266
INFO 2021-03-10 21:09:17,678 Iteration: 71. Energy -2.0949541598299013.  Energy change 0.000e+00 , Iteration dutation: 0.16901540756225586
INFO 2021-03-10 21:09:17,847 Iteration: 72. Energy -2.0949541598299013.  Energy change 0.000e+00 , Iteration dutation: 0.16828417778015137
INFO 2021-03-10 21:09:18,016 Iteration: 73. Energy -2.0949541598299013.  Energy change 0.000e+00 , Iteration dutation: 0.1685924530029297
INFO 2021-03-10 21:09:18,186 Iteration: 74. Energy -2.0949541598299013.  Energy change 0.000e+00 , Iteration dutation: 0.16933679580688477
INFO 2021-03-10 21:09:18,355 Iteration: 75. Energy -2.0949541598299013.  Energy change 0.000e+00 , Iteration dutation: 0.16931581497192383
INFO 2021-03-10 21:09:18,524 Iteration: 76. Energy -2.0949541598299013.  Energy change 0.000e+00 , Iteration dutation: 0.16941070556640625
INFO 2021-03-10 21:09:18,693 Iteration: 77. Energy -2.0949541598299013.  Energy change 0.000e+00 , Iteration dutation: 0.16907644271850586
INFO 2021-03-10 21:09:18,862 Iteration: 78. Energy -2.0949541598299013.  Energy change 0.000e+00 , Iteration dutation: 0.16849660873413086
INFO 2021-03-10 21:09:19,031 Iteration: 79. Energy -2.0949541598299013.  Energy change 0.000e+00 , Iteration dutation: 0.16944050788879395
INFO 2021-03-10 21:09:19,200 Iteration: 80. Energy -2.0949541598299013.  Energy change 0.000e+00 , Iteration dutation: 0.16867923736572266
INFO 2021-03-10 21:09:19,369 Iteration: 81. Energy -2.0949541598299013.  Energy change 0.000e+00 , Iteration dutation: 0.16898655891418457
INFO 2021-03-10 21:09:19,538 Iteration: 82. Energy -2.094954159829901.  Energy change 4.441e-16 , Iteration dutation: 0.16878294944763184
INFO 2021-03-10 21:09:19,707 Iteration: 83. Energy -2.094954159829901.  Energy change 0.000e+00 , Iteration dutation: 0.16993498802185059
INFO 2021-03-10 21:09:19,876 Iteration: 84. Energy -2.094954159829901.  Energy change 0.000e+00 , Iteration dutation: 0.1685943603515625
INFO 2021-03-10 21:09:20,044 Iteration: 85. Energy -2.094954159829901.  Energy change 0.000e+00 , Iteration dutation: 0.16903996467590332
INFO 2021-03-10 21:09:20,214 Iteration: 86. Energy -2.094954159829901.  Energy change 0.000e+00 , Iteration dutation: 0.1683814525604248
INFO 2021-03-10 21:09:20,383 Iteration: 87. Energy -2.094954159829901.  Energy change 0.000e+00 , Iteration dutation: 0.16971945762634277
INFO 2021-03-10 21:09:20,552 Iteration: 88. Energy -2.094954159829901.  Energy change 0.000e+00 , Iteration dutation: 0.1692047119140625
